,Station Intersection,Lat,Lng
278,Stewart St / Bathurst St  - SMART,43.6431914,-79.402383
279,Bloor St E / Huntley St - SMART,43.671535,-79.379173
280,Wychwood Ave / Benson Ave - SMART,43.6805156,-79.4228273
281,Yonge St / Alexander St - SMART,43.6628957,-79.3837219
282,Adelaide St W / Bay St - SMART,43.6498929,-79.380774
283,Bloor St W / Manning Ave - SMART,43.6640657,-79.4160863
284,Robert St / Bloor St W - SMART,43.6663621,-79.4053356
285,York St / King St W - SMART,43.648,-79.3834
286,Spadina Ave / Harbord St - SMART,43.6630951,-79.4020073
287,Dovercourt Rd / Harrison St - SMART,43.6502288,-79.4250506
288,Vanauley St / Queen St W - SMART,43.6505077,-79.3878689
289,Summerhill Ave / MacLennan Ave - SMART,43.6855976,-79.3780841
290,Bloor St W / Shaw Ave - SMART,43.662502,-79.4232428
291,Exhibition GO Station,43.6358793,-79.4187734
292,Fringe Next Stage - 7219,43.6581282,-79.3502186
293,Church St  / Wood St,43.6628044,-79.3797312
294,Bathurst Subway Station,43.6660011,-79.4112152
295,College St W / Markham St,43.658871,-79.4100062
296,King St W / Spadina Ave,43.6454878,-79.3948952
297,University Ave / Gerrard St W,43.65753,-79.389626
298,Niagara St / Richmond St W,43.6450333,-79.4094564
299,Bathurst St / Fort York Blvd,43.6388818,-79.4006555
300,Bathurst St / Dundas St W,43.6522958,-79.4060126
301,Lower Sherbourne St / The Esplanade,43.6490352,-79.3672694
302,University Ave / King St W,43.6476597,-79.3848122
303,Bay St / Queens Quay W (Ferry Terminal),43.6404124,-79.3757241
304,25 York St (ACC/Union Station South),43.6434445,-79.3809378
305,King St W / Stafford St,43.6422906,-79.4107175
306,Princess St / Adelaide St,43.6523981,-79.3673842
307,East Liberty St / Pirandello St,43.6386723,-79.4139607
308,Union Station,43.6452202,-79.3805981
309,Victoria St / Gould St (Ryerson University),43.6576585,-79.3788017
310,Dundas St E / Parliament St,43.6594276,-79.3659956
311,Dundas St / Yonge St,43.656325,-79.380903
312,Jarvis St / Isabella St,43.668869,-79.3794158
313,Navy Wharf Ct. / Bremner Blvd.,43.6407935,-79.3915459
314,Edward St / Yonge St,43.6570179,-79.3811971
315,Bond St / Queen St E,43.6529167,-79.3769128
316,Queens Quay W / Lower Simcoe St,43.6395925,-79.3827816
317,Queen St W / Portland St,43.647714,-79.4014195
318,Rusholme Park Cres / College St W,43.6529203,-79.4296335
319,Fort York  Blvd / Capreol Crt,43.6398746,-79.3956134
320,80 Clinton St (North of College),43.6561625,-79.4146192
321,Yonge St / Wood St,43.6620286,-79.383353
