,Station Intersection,Lat,Lng
487,Lansdowne Ave / Whytock Ave,,
488,Mortimer Ave / Coxwell Ave,,
489,Danforth Ave / Barrington Ave,,
490,Pape Subway Green P,,
491,Danforth Ave / Westlake Ave,,
492,Woodbine Subway Green P (Cedarvale Ave),,
493,424 Wellington St W,,
494,HTO Park (Queens Quay W),,
495,Dundas St W / Yonge St,,
496,Wellesley St E / Yonge St (Green P),,
497,College St / Major St,,
498,Princess St / Adelaide St E,,
499,College St / Borden St,,
500,Beverly St / College St,,
501,Widmer St / Adelaide St W,,
502,College St / Huron St,,
503,Sherbourne St / Wellesley St E,,
504,Michael Sweet Ave / St. Patrick St,,
505,St. George St / Bloor St W,,
506,Front St W / Bay St (North Side),,
507,Rusholme Park Cres / College St,,
508,Ossington Ave / College St,,
509,Front St W / Yonge St (Hockey Hall of Fame),,
510,College St / Markham St,,
511,Margueretta St / College St,,
512,Lansdowne Subway Green P,,
513,College St / Crawford St,,
514,Bloor GO / UP Station (West Toronto Railpath),,
515,Queen St E / Larchmount Ave,,
516,The Royal Ontario Museum (Bloor St Entrance),,
517,Spadina Ave / Adelaide St W,,
518,Dundas St W / St. Patrick St,,
519,Lower Spadina Ave / Lake Shore Blvd,,
520,Bloor St W / Balmuto St,,
521,Roxton Rd / College St,,
522,Front St W / Bay St (South Side),,
523,Bloor St W / High Park Ave (High Park),,
524,Humber Bay Shores Park East,,
525,Lakeshore Blvd W / Ellis Ave,,
526,Lakeshore Blvd W / The Boulevard Club,,
527,Humber Bay Shores Park West,,
528,Sunnyside - Gus Ryder Pool,,
529,Lake Shore Blvd W / Ontario Dr(Ontario Place),,
530,Martin Goodman Trail (Marilyn Bell Park),,
531,Ward Ave / Wallace Ave,,
532,Lake Shore Blvd W / Windermere Ave,,
533,High Park Subway Station,,
534,Queen St W / Roncesvalles Ave,,
535,Toronto Eaton Centre (Yonge St),,
536,Garden Ave / Roncesvalles Ave,,
537,Queen St W / James St,,
538,Roncesvalles Ave / Marmaduke St,,
539,Exhibition GO Station,,
540,Dufferin Gate - SMART,,
