,Date,Time,temp,weather_main,rain_1h,rain_3h,rain_24h,rain_today
38712,2017-01-10,17:00:00,272.98,Snow,,,,
38713,2017-01-10,18:00:00,273.39,Snow,,,,
38714,2017-01-10,19:00:00,273.35,Snow,,,,
38715,2017-01-10,20:00:00,273.35,Rain,0.3,,,
38716,2017-01-10,20:00:00,273.35,Snow,0.3,,,
38717,2017-01-10,21:00:00,273.98,Rain,0.9,,,
38718,2017-01-10,21:00:00,273.98,Mist,0.9,,,
38719,2017-01-10,21:00:00,273.98,Snow,0.9,,,
38720,2017-01-10,22:00:00,274.76,Rain,0.3,,,
38721,2017-01-10,22:00:00,274.76,Mist,0.3,,,
38722,2017-01-10,22:00:00,274.76,Snow,0.3,,,
38723,2017-01-10,23:00:00,275.19,Rain,0.3,,,
38724,2017-01-10,23:00:00,275.19,Mist,0.3,,,
38725,2017-01-10,23:00:00,275.19,Snow,0.3,,,
38726,2017-01-11,00:00:00,276.16,Rain,0.3,,,
38727,2017-01-11,00:00:00,276.16,Mist,0.3,,,
38728,2017-01-11,01:00:00,276.56,Rain,0.3,,,
38729,2017-01-11,01:00:00,276.56,Mist,0.3,,,
38730,2017-01-11,01:00:00,276.56,Drizzle,0.3,,,
38731,2017-01-11,02:00:00,277.79,Rain,0.3,,,
38732,2017-01-11,02:00:00,277.79,Mist,0.3,,,
38733,2017-01-11,03:00:00,278.19,Rain,0.3,,,
38734,2017-01-11,03:00:00,278.19,Mist,0.3,,,
38735,2017-01-11,04:00:00,278.62,Rain,0.3,,,
38736,2017-01-11,04:00:00,278.62,Mist,0.3,,,
38737,2017-01-11,05:00:00,279.38,Rain,0.3,,,
38738,2017-01-11,05:00:00,279.38,Mist,0.3,,,
38739,2017-01-11,06:00:00,280.15,Rain,0.3,,,
38740,2017-01-11,06:00:00,280.15,Mist,0.3,,,
38741,2017-01-11,07:00:00,277.91,Rain,0.3,,,
38742,2017-01-11,08:00:00,277.64,Clouds,,,,
38743,2017-01-11,09:00:00,277.14,Clouds,,,,
38744,2017-01-11,10:00:00,276.44,Clouds,,,,
38745,2017-01-11,11:00:00,276.41,Clear,,,,
38746,2017-01-11,12:00:00,275.66,Clear,,,,
38747,2017-01-11,13:00:00,274.55,Clear,,,,
38748,2017-01-11,14:00:00,274.55,Clear,,,,
38749,2017-01-11,15:00:00,274.76,Clear,,,,
38750,2017-01-11,16:00:00,275.76,Clear,,,,
38751,2017-01-11,17:00:00,276.57,Clear,,,,
38752,2017-01-11,18:00:00,276.37,Clear,,,,
38753,2017-01-11,19:00:00,276.99,Clear,,,,
38754,2017-01-11,20:00:00,277.58,Clear,,,,
38755,2017-01-11,21:00:00,278.17,Clouds,,,,
38756,2017-01-11,22:00:00,277.98,Clear,,,,
38757,2017-01-11,23:00:00,277.78,Clouds,,,,
38758,2017-01-12,00:00:00,277.59,Clouds,,,,
38759,2017-01-12,01:00:00,277.78,Clouds,,,,
38760,2017-01-12,02:00:00,277.99,Clouds,,,,
38761,2017-01-12,03:00:00,278.61,Clouds,,,,
38762,2017-01-12,04:00:00,277.66,Rain,0.9,,,
38763,2017-01-12,05:00:00,278.22,Rain,0.3,,,
38764,2017-01-12,06:00:00,278.88,Rain,3.0,,,
38765,2017-01-12,06:00:00,278.88,Mist,3.0,,,
38766,2017-01-12,07:00:00,279.86,Rain,0.9,,,
38767,2017-01-12,07:00:00,279.86,Mist,0.9,,,
38768,2017-01-12,08:00:00,279.88,Rain,0.3,,,
38769,2017-01-12,08:00:00,279.88,Mist,0.3,,,
38770,2017-01-12,09:00:00,280.39,Rain,0.9,,,
38771,2017-01-12,09:00:00,280.39,Fog,0.9,,,
38772,2017-01-12,09:00:00,280.39,Mist,0.9,,,
38773,2017-01-12,10:00:00,279.12,Fog,,,,
38774,2017-01-12,10:00:00,279.12,Mist,,,,
38775,2017-01-12,11:00:00,278.37,Mist,0.9,,,
38776,2017-01-12,11:00:00,278.37,Drizzle,0.9,,,
38777,2017-01-12,11:00:00,278.37,Rain,0.9,,,
38778,2017-01-12,11:00:00,278.37,Fog,0.9,,,
38779,2017-01-12,12:00:00,277.91,Clouds,,,,
38780,2017-01-12,13:00:00,278.47,Clouds,,,,
38781,2017-01-12,14:00:00,277.22,Clouds,,,,
38782,2017-01-12,15:00:00,276.18,Clouds,,,,
38783,2017-01-12,16:00:00,276.13,Clouds,,,,
38784,2017-01-12,17:00:00,276.18,Clouds,,,,
38785,2017-01-12,18:00:00,275.57,Rain,0.3,,,
38786,2017-01-12,18:00:00,275.57,Mist,0.3,,,
38787,2017-01-12,19:00:00,275.53,Rain,0.3,,,
38788,2017-01-12,19:00:00,275.53,Mist,0.3,,,
38789,2017-01-12,20:00:00,275.98,Rain,0.3,,,
38790,2017-01-12,20:00:00,275.98,Mist,0.3,,,
38791,2017-01-12,21:00:00,275.99,Mist,,,,
38792,2017-01-12,22:00:00,275.35,Rain,0.9,,,
38793,2017-01-12,22:00:00,275.35,Mist,0.9,,,
38794,2017-01-12,23:00:00,274.79,Mist,,,,
38795,2017-01-13,00:00:00,274.55,Clouds,,,,
38796,2017-01-13,01:00:00,274.4,Clouds,,,,
38797,2017-01-13,02:00:00,273.57,Clouds,,,,
38798,2017-01-13,03:00:00,273.56,Clouds,,,,
38799,2017-01-13,04:00:00,273.15,Clouds,,,,
38800,2017-01-13,05:00:00,272.71,Clouds,,,,
38801,2017-01-13,06:00:00,271.9,Clouds,,,,
38802,2017-01-13,07:00:00,271.39,Clear,,,,
38803,2017-01-13,08:00:00,271.39,Clouds,,,,
38804,2017-01-13,09:00:00,271.14,Clouds,,,,
38805,2017-01-13,10:00:00,270.14,Clouds,,,,
38806,2017-01-13,11:00:00,269.66,Clear,,,,
38807,2017-01-13,12:00:00,269.66,Clouds,,,,
38808,2017-01-13,13:00:00,269.16,Clouds,,,,
38809,2017-01-13,14:00:00,268.76,Rain,0.9,,,
38810,2017-01-13,15:00:00,268.97,Snow,,,,
38811,2017-01-13,16:00:00,269.57,Snow,,,,
38812,2017-01-13,17:00:00,270.36,Clouds,,,,
38813,2017-01-13,18:00:00,270.18,Snow,,,,
38814,2017-01-13,19:00:00,270.35,Snow,0.9,,,
38815,2017-01-13,19:00:00,270.35,Rain,0.9,,,
38816,2017-01-13,20:00:00,269.56,Snow,0.9,,,
38817,2017-01-13,20:00:00,269.56,Rain,0.9,,,
38818,2017-01-13,21:00:00,269.18,Snow,,,,
38819,2017-01-13,22:00:00,269.04,Rain,0.9,,,
38820,2017-01-13,23:00:00,268.16,Snow,,,,
38821,2017-01-14,00:00:00,267.57,Snow,,,,
